"","Player","Pos","School","Ht","Wt","X40yd","X3Cone","Shuttle","YearDrafted"
"620","Ray-ray McCloud","WR","Clemson","5-9",190,4.53,NA,NA,2018
"621","Anthony Miller","WR","Memphis","5-11",201,NA,NA,NA,2018
"622","Steven Mitchell","WR","USC","5-10",189,4.56,6.75,4.4,2018
"623","Jmon Moore","WR","Missouri","6-3",207,4.6,6.56,4.04,2018
"624","D.J. Moore","WR","Maryland","6-0",210,4.42,6.95,4.07,2018
"625","Cam Phillips","WR","Virginia Tech","6-0",201,NA,NA,NA,2018
"626","Byron Pringle","WR","Kansas State","6-1",203,4.46,6.87,4.4,2018
"627","Trey Quinn","WR","SMU","5-11",203,4.55,6.91,4.19,2018
"628","Calvin Ridley","WR","Alabama","6-0",189,4.43,6.88,4.41,2018
"629","Korey Robertson","WR","Southern Miss","6-1",212,4.56,NA,NA,2018
"630","Jaleel Scott","WR","New Mexico State","6-5",218,4.56,7.2,4.4,2018
"631","Trequan Smith","WR","Central Florida","6-2",203,4.49,6.97,4.5,2018
"632","Courtland Sutton","WR","SMU","6-3",218,4.54,6.57,4.11,2018
"633","Auden Tate","WR","Florida State","6-5",228,4.68,NA,NA,2018
"634","Marquez Valdes-Scantling","WR","South Florida","6-4",206,4.37,NA,NA,2018
"635","James Washington","WR","Oklahoma State","5-11",213,4.54,7.11,4.32,2018
"636","Jester Weah","WR","Pittsburgh","6-2",211,4.43,7.24,4.41,2018
"637","Karaun White","WR","West Virginia","6-1",206,4.52,7.16,4.57,2018
"638","Jake Wieneke","WR","South Dakota State","6-4",221,4.67,7.24,4.37,2018
"639","Cedrick Wilson","WR","Boise State","6-2",197,4.55,6.89,4.23,2018
"640","Javon Wims","WR","Georgia","6-3",215,4.53,7,NA,2018
"641","J.J. Arcega-Whiteside","WR","Stanford","6-2",225,NA,NA,NA,2019
"642","Miles Boykin","WR","Notre Dame","6-4",220,4.42,6.77,4.07,2019
"643","Tyre Brady","WR","Marshall","6-3",211,NA,NA,4.25,2019
"644","A.J. Brown","WR","Mississippi","6-0",226,4.49,NA,NA,2019
"645","Marquise Brown","WR","Oklahoma","5-9",166,NA,NA,NA,2019
"646","Emmanuel Butler","WR","Northern Arizona","6-3",217,NA,NA,4.22,2019
"647","Hakeem Butler","WR","Iowa State","6-5",227,4.48,NA,NA,2019
"648","Parris Campbell","WR","Ohio State","6-0",205,4.31,NA,4.03,2019
"649","Jamal Custis","WR","Syracuse","6-4",214,4.5,NA,NA,2019
"650","Felton Davis","WR","Michigan State","6-3",211,NA,NA,NA,2019
"651","Ryan Davis","WR","Auburn","5-10",189,NA,7.09,4.23,2019
"652","Johnnie Dixon","WR","Ohio State","5-10",201,4.41,NA,4.43,2019
"653","Greg Dortch","WR","Wake Forest","5-7",173,NA,NA,NA,2019
"654","Keelan Doss","WR","UC Davis","6-2",211,NA,NA,NA,2019
"655","Ashton Dulin","WR","Malone University (Ohio)","6-1",215,4.43,7,4.22,2019
"656","Jovon Durante","WR","Florida Atlantic","5-11",160,4.55,7,4.31,2019
"657","Jazz Ferguson","WR","Northwestern St. (LA)","6-5",227,4.45,7.25,4.59,2019
"658","Travis Fulgham","WR","Old Dominion","6-2",215,4.58,NA,NA,2019
"659","Terry Godwin","WR","Georgia","5-11",184,4.55,6.96,NA,2019
"660","Emanuel Hall","WR","Missouri","6-2",201,4.39,NA,NA,2019
"661","Mecole Hardman","WR","Georgia","5-10",187,4.33,NA,NA,2019
"662","Kelvin Harmon","WR","North Carolina State","6-2",221,4.6,7.15,4.32,2019
"663","N'Keal Harry","WR","Arizona State","6-2",228,4.53,NA,NA,2019
"664","Lil'Jordan Humphrey","WR","Texas","6-4",210,4.75,7.09,4.29,2019
"665","Jalen Hurd","WR","Baylor","6-5",226,NA,NA,NA,2019
"666","Andy Isabella","WR","Massachusetts","5-9",188,4.31,6.95,4.15,2019
"667","Gary Jennings","WR","West Virginia","6-1",214,4.42,7.32,4.15,2019
"668","Anthony Johnson","WR","Buffalo","6-2",209,NA,7.12,NA,2019
"669","Diontae Johnson","WR","Toledo","5-10",183,4.53,7.09,4.45,2019
"670","Keesean Johnson","WR","Fresno State","6-1",201,4.6,7.28,4.23,2019
"671","Bisi Johnson","WR","Colorado State","6-0",204,4.51,6.88,4.16,2019
"672","Damarkus Lodge","WR","Mississippi","6-2",202,4.55,7.06,4.53,2019
"673","Terry McLaurin","WR","Ohio State","6-0",208,4.35,7.01,4.15,2019
"674","D.K. Metcalf","WR","Mississippi","6-3",228,4.33,7.38,4.5,2019
"675","Jakobi Meyers","WR","North Carolina State","6-2",203,4.63,7.07,4.23,2019
"676","Dillon Mitchell","WR","Oregon","6-1",197,4.46,NA,4.29,2019
"677","Stanley Morgan","WR","Nebraska","6-0",202,4.53,6.78,4.13,2019
"678","Nyqwan Murray","WR","Florida State","5-10",191,4.63,7.2,4.4,2019
"679","Hunter Renfrow","WR","Clemson","5-10",184,4.59,6.8,4.19,2019
"680","Riley Ridley","WR","Georgia","6-1",199,4.58,7.22,4.28,2019
"681","Deebo Samuel","WR","South Carolina","5-11",214,4.48,7.03,4.14,2019
"682","David Sills","WR","West Virginia","6-3",211,4.57,6.97,4.28,2019
"683","Darius Slayton","WR","Auburn","6-1",190,4.39,7,4.15,2019
"684","Jaylen Smith","WR","Louisville","6-2",219,4.47,7.55,4.48,2019
"685","Cody Thompson","WR","Toledo","6-1",205,4.57,6.87,4.03,2019
"686","Jamarius Way","WR","South Alabama","6-3",215,4.63,NA,4.66,2019
"687","Alex Wesley","WR","Northern Colorado","6-0",190,4.45,7.4,4.44,2019
"688","Antoine Wesley","WR","Texas Tech","6-4",206,NA,7.07,4.26,2019
"689","Brandon Aiyuk","WR","Arizona State","6-0",205,4.5,NA,NA,2020
"690","Omar Bayless","WR","Arkansas State","6-1",212,4.62,7.35,4.5,2020
"691","Lynn Bowden","WR","Kentucky","5-11",204,NA,NA,NA,2020
"692","Tony Brown","WR","Colorado","6-1",198,4.65,7.21,4.27,2020
"693","Lawrence Cager","WR","Georgia","6-5",220,NA,NA,NA,2020
"694","Marquez Callaway","WR","Tennessee","6-1",205,4.55,NA,NA,2020
"695","Quintez Cephus","WR","Wisconsin","6-1",202,4.73,7.2,4.33,2020
"696","Chase Claypool","WR","Notre Dame","6-4",238,4.42,NA,NA,2020
"697","Tyrie Cleveland","WR","Florida","6-2",209,4.46,NA,NA,2020
"698","Isaiah Coulter","WR","Rhode Island","6-2",198,4.45,7.28,4.62,2020
"699","Gabriel Davis","WR","UCF","6-2",216,4.54,7.08,4.59,2020
"700","Quartney Davis","WR","Texas A&M","6-1",201,4.54,NA,NA,2020
"701","Devin Duvernay","WR","Texas","5-10",200,4.39,7.13,4.2,2020
"702","Bryan Edwards","WR","South Carolina","6-3",212,NA,NA,NA,2020
"703","Chris Finke","WR","Notre Dame","5-9",186,4.57,NA,NA,2020
"704","Aaron Fuller","WR","Washington","5-11",188,4.59,7.14,NA,2020
"705","Antonio Gandy-Golden","WR","Liberty","6-4",223,4.6,7.33,4.55,2020
"706","Antonio Gibson","WR","Memphis","6-0",228,4.39,NA,NA,2020
"707","Stephen Guidry","WR","Mississippi State","6-3",201,4.47,7.31,4.46,2020
"708","KJ Hamler","WR","Penn State","5-9",178,NA,NA,NA,2020
"709","Tee Higgins","WR","Clemson","6-4",216,NA,NA,NA,2020
"710","John Hightower","WR","Boise State","6-1",189,4.43,7.07,4.21,2020
"711","K.J. Hill","WR","Ohio State","6-0",196,4.6,NA,NA,2020
"712","Isaiah Hodgins","WR","Oregon State","6-4",210,4.61,7.01,4.12,2020
"713","Henry Ruggs III","WR","Alabama","5-11",188,4.27,NA,NA,2020
"714","Trishton Jackson","WR","Syracuse","6-1",197,4.5,NA,NA,2020
"715","Justin Jefferson","WR","LSU","6-1",202,4.43,NA,NA,2020
"716","Van Jefferson","WR","Florida","6-1",200,NA,NA,NA,2020
"717","Jauan Jennings","WR","Tennessee","6-3",215,4.72,NA,NA,2020
"718","Jerry Jeudy","WR","Alabama","6-1",193,4.45,NA,4.53,2020
"719","Collin Johnson","WR","Texas","6-6",222,NA,NA,NA,2020
"720","Juwan Johnson","WR","Oregon","6-4",230,4.58,6.94,4.37,2020
"721","Tyler Johnson","WR","Minnesota","6-1",206,NA,NA,NA,2020
"722","Laviska Shenault Jr.","WR","Colorado","6-1",227,4.58,NA,NA,2020
"723","CeeDee Lamb","WR","Oklahoma","6-2",198,4.5,NA,NA,2020
"724","Kalija Lipscomb","WR","Vanderbilt","6-0",207,4.57,NA,NA,2020
"725","Austin Mack","WR","Ohio State","6-1",208,4.59,NA,4.42,2020
"726","Denzel Mims","WR","Baylor","6-3",207,4.38,6.66,4.43,2020
"727","Darnell Mooney","WR","Tulane","5-10",176,4.38,NA,NA,2020
"728","K.J. Osborn","WR","Miami","5-11",203,4.48,7,4.35,2020
"729","Aaron Parker","WR","Rhode Island","6-2",209,4.57,6.94,4.23,2020
"730","Dezmon Patmon","WR","Washington State","6-4",225,4.48,7.28,4.38,2020
"731","Donovan Peoples-Jones","WR","Michigan","6-2",212,4.48,NA,NA,2020
"732","Malcolm Perry","WR","Navy","5-9",186,4.63,7.12,4.31,2020
"733","Michael Pittman","WR","USC","6-4",223,4.52,6.96,4.14,2020
"734","James Proche","WR","SMU","5-11",201,NA,7.27,4.4,2020
"735","Jalen Reagor","WR","TCU","5-11",206,4.47,7.31,4.46,2020
"736","Joe Reed","WR","Virginia","6-0",224,4.47,NA,NA,2020
"737","Kendrick Rogers","WR","Texas A&M","6-4",208,4.51,7.13,4.48,2020
"738","Darrell Stewart","WR","Michigan State","6-0",212,NA,NA,NA,2020
"739","Freddie Swain","WR","Florida","6-0",197,4.46,7.05,4.26,2020
"740","Jeff Thomas","WR","Miami","5-9",170,4.45,NA,NA,2020
"741","Ben Victor","WR","Ohio State","6-4",198,4.6,7.1,NA,2020
"742","Quez Watkins","WR","Southern Miss","6-0",185,4.35,7.28,4.36,2020
"743","Cody White","WR","Michigan State","6-3",217,4.66,7.19,4.52,2020
"744","Jonathan Adams","WR","Arkansas St.","6-2",210,4.59,7.04,4.38,2021
"745","Tutu Atwell","WR","Louisville","5-8",155,4.42,6.89,4.14,2021
"746","Kawaan Baker","WR","South Alabama","6-0",210,4.44,7.42,4.41,2021
"747","Rashod Bateman","WR","Minnesota","6-0",190,4.39,NA,NA,2021
"748","Tarik Black","WR","Texas","6-2",213,4.54,6.91,4.26,2021
"749","Josh Blancato","WR","Georgia Tech","5-9",182,4.55,6.9,4.31,2021
"750","Dyami Brown","WR","North Carolina","6-0",189,4.46,6.87,4.35,2021
"751","Amon-Ra St. Brown","WR","USC","5-11",197,4.51,6.88,4.17,2021
"752","Jalen Camp","WR","Georgia Tech","6-1",226,4.48,7,4.14,2021
"753","Ja'Marr Chase","WR","LSU","6-0",201,4.34,6.96,3.99,2021
"754","Ramaud Chiaokhiao-Bowman","WR","Northwestern","6-1",204,4.78,6.78,4.2,2021
"755","Nico Collins","WR","Michigan","6-4",215,4.43,6.78,4.29,2021
"756","Damonte Coxie","WR","Memphis","6-2",198,4.77,6.92,4.45,2021
"757","Frank Darby","WR","Arizona St.","6-0",201,4.56,7.05,4.25,2021
"758","Jaelon Darden","WR","North Texas","5-7",174,4.47,6.66,3.98,2021
"759","DeVontres Dukes","WR","South Florida","6-3",216,4.81,7.07,4.41,2021
"760","Brennan Eagles","WR","Texas","6-3",225,4.55,6.93,4.42,2021
"761","D'Wayne Eskridge","WR","West. Michigan","5-8",190,4.38,6.93,4.22,2021
"762","Simi Fehoko","WR","Stanford","6-3",222,4.44,6.78,4.26,2021
"763","Dez Fitzpatrick","WR","Louisville","6-1",208,4.43,7.09,4.26,2021
"764","Bailey Gaither","WR","San Jose St.","6-0",188,4.45,7.07,4.39,2021
"765","Trevon Grimes","WR","Florida","6-4",220,4.49,6.98,4.28,2021
"766","Adrian Hardy","WR","Louisiana Tech","6-1",205,4.61,6.96,4.5,2021
"767","Jacob Harris","WR","Central Florida","6-5",219,4.39,6.54,4.31,2021
"768","Jaylen Harris","WR","Ohio St.","5-8",170,4.77,7.37,4.5,2021
"769","Damon Hazelton","WR","Missouri","",NA,4.6,NA,NA,2021
"770","Josh Imatorbhebhe","WR","Illinois","6-0",218,4.53,7.1,4.38,2021
"771","Warren Jackson","WR","Colorado St.","6-6",219,4.68,7.81,4.53,2021
"772","Johnathon Johnson","WR","Missouri","",NA,NA,NA,NA,2021
"773","Terrace Marshall Jr.","WR","LSU","6-2",205,4.4,NA,NA,2021
"774","Adam Krumholz","WR","Wisconsin","6-0",193,4.6,7.03,4.28,2021
"775","Riley Lees","WR","Northwestern","5-11",192,4.47,6.78,4.16,2021
"776","Branden Mack","WR","Temple","6-5",217,4.66,7.13,4.37,2021
"777","Khalil McClain","WR","Troy","6-2",214,4.7,7.72,4.5,2021
"778","Isaiah McKoy","WR","Kent St.","6-2",200,4.68,7.09,4.36,2021
"779","Racey McMath","WR","LSU","6-2",217,4.36,7.38,4.38,2021
"780","Dax Milne","WR","BYU","",NA,4.54,NA,4.19,2021
"781","Elijah Moore","WR","Mississippi","",NA,4.35,6.63,4.07,2021
"782","Rondale Moore","WR","Purdue","5-7",180,4.28,6.65,4.06,2021
"783","Jonathan Nance","WR","Missouri","",NA,NA,NA,NA,2021
"784","Dazz Newsome","WR","North Carolina","5-10",190,4.59,7.38,4.38,2021
"785","Tre Nixon","WR","Central Florida","6-0",187,4.44,6.81,4.27,2021
"786","Antonio Nunn","WR","Buffalo","5-11",204,4.5,7.12,4.32,2021
"787","Whop Philyor","WR","Indiana","5-9",184,4.57,7.2,4.34,2021
"788","Cornell Powell","WR","Clemson","6-0",204,4.53,7.03,4.21,2021
"789","Blake Proehl","WR","East Carolina","6-1",186,4.47,7,4.06,2021
"790","Amari Rodgers","WR","Clemson","5-9",212,4.52,7.07,4.31,2021
"791","Anthony Schwartz","WR","Auburn","6-0",186,4.27,7.13,4.25,2021
"792","Ben Skowronek","WR","Notre Dame","6-2",220,NA,NA,NA,2021
"793","Brandon Smith","WR","Iowa","6-1",218,4.62,NA,NA,2021
"794","Ihmir Smith-Marsette","WR","Iowa","6-0",181,4.43,7,4.2,2021
"795","Marquez Stevenson","WR","Houston","5-10",180,4.48,6.76,4.14,2021
"796","Dillon Stoner","WR","Oklahoma St.","6-0",194,4.51,6.96,4.13,2021
"797","Eli Stove","WR","Auburn","5-11",194,4.54,7.34,4.4,2021
"798","Sage Surratt","WR","Wake Forest","6-2",209,4.66,NA,4.25,2021
"799","Tamorrion Terry","WR","Florida St.","6-2",207,4.44,7,4.53,2021
"800","Kadarius Toney","WR","Florida","5-11",193,4.39,6.88,4.25,2021
"801","Tyler Vaughns","WR","USC","6-1",190,4.62,7.13,4.36,2021
"802","Tre Walker","WR","San Jose St.","5-10",178,4.58,7.75,4.47,2021
"803","Tylan Wallace","WR","Oklahoma St.","5-11",194,4.48,6.97,4.25,2021
"804","Connor Wedington","WR","Stanford","6-0",196,4.47,6.66,4.07,2021
"805","Marlon Williams","WR","Central Florida","5-11",209,4.63,NA,4.57,2021
"806","Seth Williams","WR","Auburn","6-3",211,4.49,7.2,4.43,2021
"807","Calvin Austin","WR","Memphis","5-8",170,4.32,6.65,4.07,2022
"808","David Bell","WR","Purdue","6-1",212,4.65,7.14,4.57,2022
"809","Slade Bolden","WR","Alabama","5-11",193,4.66,NA,NA,2022
"810","Treylon Burks","WR","Arkansas","6-2",225,4.55,7.28,NA,2022
"811","Dai'Jean Dixon","WR","Nicholls St.","6-3",205,4.62,7.28,4.42,2022
"812","Jahan Dotson","WR","Penn St.","5-11",178,4.43,7.28,NA,2022
"813","Romeo Doubs","WR","Nevada","6-2",201,NA,NA,NA,2022
"814","Dontario Drummond","WR","Mississippi","6-1",215,4.65,NA,NA,2022
"815","Erik Ezukanma","WR","Texas Tech","6-2",209,NA,NA,4.38,2022
"816","Ty Fryfogle","WR","Indiana","6-1",204,4.53,NA,NA,2022
"817","Danny Gray","WR","SMU","6-0",186,4.33,NA,NA,2022
"818","Johnny Johnson III","WR","Oregon","6-0",197,4.6,7.21,4.54,2022
"819","Josh Johnson","WR","Tulsa","5-11",183,NA,NA,NA,2022
"820","Velus Jones","WR","Tennessee","6-0",204,4.31,NA,NA,2022
"821","Kevin Austin Jr.","WR","Notre Dame","6-2",200,4.43,6.71,4.15,2022
"822","Reggie Roberson Jr.","WR","SMU","5-11",192,NA,NA,NA,2022
"823","Drake London","WR","USC","6-4",219,NA,NA,NA,2022
"824","Bo Melton","WR","Rutgers","5-11",189,4.34,6.98,NA,2022
"825","John Metchie","WR","Alabama","5-11",187,NA,NA,NA,2022
"826","Skyy Moore","WR","Western Michigan","5-10",195,4.41,7.13,4.32,2022
"827","Jalen Nailor","WR","Michigan St.","5-11",186,4.5,7.03,4.28,2022
"828","Chris Olave","WR","Ohio St.","6-0",187,4.39,NA,NA,2022
"829","Kyle Philips","WR","UCLA","5-11",189,4.58,NA,NA,2022
"830","George Pickens","WR","Georgia","6-3",195,4.47,NA,NA,2022
"831","Alec Pierce","WR","Cincinnati","6-3",211,4.41,7.13,4.28,2022
"832","Makai Polk","WR","Mississippi St.","6-3",195,4.59,NA,4.36,2022
"833","Charleston Rambo","WR","Miami","6-1",177,4.57,NA,NA,2022
"834","Wan'Dale Robinson","WR","Kentucky","5-8",178,4.44,NA,NA,2022
"835","Justyn Ross","WR","Clemson","6-4",205,NA,NA,NA,2022
"836","Braylon Sanders","WR","Mississippi","6-0",194,4.48,NA,NA,2022
"837","Khalil Shakir","WR","Boise St.","6-0",196,4.43,7.28,4.21,2022
"838","Tyquan Thornton","WR","Baylor","6-2",181,4.28,NA,NA,2022
"839","Jalen Tolbert","WR","South Alabama","6-1",194,4.49,7.08,NA,2022
"840","Tr Turner","WR","Virginia Tech","6-1",184,4.51,7.45,4.53,2022
"841","Christian Watson","WR","North Dakota St.","6-4",208,4.36,NA,NA,2022
"842","Isaiah Weston","WR","Northern Iowa","6-4",214,4.42,NA,NA,2022
"843","Devon Williams","WR","Oregon","6-5",210,4.65,NA,NA,2022
"844","Jameson Williams","WR","Alabama","6-2",179,NA,NA,NA,2022
"845","Garrett Wilson","WR","Ohio St.","6-0",183,4.38,NA,4.36,2022
"846","Mike Woods","WR","Oklahoma","6-1",204,4.55,NA,NA,2022
"847","Jordan Addison","WR","USC","5-11",173,4.49,NA,NA,2023
"848","Ronnie Bell","WR","Michigan","6-0",191,4.54,6.98,4.15,2023
"849","Jake Bobo","WR","UCLA","6-4",206,NA,NA,NA,2023
"850","Kayshon Boutte","WR","LSU","5-11",195,4.5,NA,4.25,2023
"851","Jalen Brooks","WR","South Carolina","6-1",201,4.69,7.15,4.31,2023
"852","Jason Brownlee","WR","Southern Mississippi","6-2",198,4.59,NA,NA,2023
"853","Jacob Copeland","WR","Maryland","5-11",201,4.42,7.01,4.47,2023
"854","Derius Davis","WR","TCU","5-8",165,4.36,NA,4.38,2023
"855","Nathaniel Dell","WR","Houston","5-8",165,4.49,NA,NA,2023
"856","Demario Douglas","WR","Liberty","5-8",179,4.44,NA,4.29,2023
"857","Josh Downs","WR","North Carolina","5-9",171,4.48,NA,NA,2023
"858","Grant DuBose","WR","Charlotte","6-2",201,4.57,6.89,4.32,2023
"859","Zay Flowers","WR","Boston Col.","5-9",182,4.42,NA,NA,2023
"860","Bryce Ford-Wheaton","WR","West Virginia","6-4",221,4.38,6.97,4.15,2023
"861","Antoine Green","WR","North Carolina","6-2",199,4.47,6.99,4.27,2023
"862","Jadon Haselwood","WR","Arkansas","6-2",215,4.66,6.98,4.31,2023
"863","Malik Heath","WR","Mississippi","6-2",213,4.64,6.96,4.46,2023
"864","Elijah Higgins","WR","Stanford","6-3",235,4.54,7.01,NA,2023
"865","Xavier Hutchinson","WR","Iowa St.","6-2",203,4.53,6.91,4.35,2023
"866","Jalin Hyatt","WR","Tennessee","6-0",176,4.4,NA,NA,2023
"867","Andrei Iosivas","WR","Princeton","6-3",205,4.43,6.85,4.12,2023
"868","Kearis Jackson","WR","Georgia","5-11",196,4.55,NA,NA,2023
"869","Rakim Jarrett","WR","Maryland","6-0",192,4.44,NA,NA,2023
"870","Michael Jefferson","WR","Louisiana","6-4",199,4.56,7.03,4.56,2023
"871","Jaray Jenkins","WR","LSU","6-2",204,4.6,NA,NA,2023
"872","CJ Johnson","WR","East Carolina","6-2",224,NA,NA,NA,2023
"873","Quentin Johnston","WR","TCU","6-3",208,NA,NA,NA,2023
"874","Charlie Jones","WR","Purdue","5-11",175,4.43,NA,NA,2023
"875","Dontay Demus Jr.","WR","Maryland","6-3",212,4.57,NA,4.39,2023
"876","Malik Knowles","WR","Kansas St.","6-2",196,NA,NA,NA,2023
"877","Matt Landers","WR","Arkansas","6-4",200,4.37,NA,NA,2023
"878","Marvin Mims","WR","Oklahoma","5-11",183,4.38,6.9,NA,2023
"879","Jonathan Mingo","WR","Mississippi","6-2",220,4.46,NA,NA,2023
"880","Jalen Moreno-Cropper","WR","Fresno St.","5-11",172,4.4,NA,NA,2023
"881","Puka Nacua","WR","BYU","6-2",201,NA,NA,NA,2023
"882","Joseph Ngata","WR","Clemson","6-3",217,4.54,NA,NA,2023
"883","Trey Palmer","WR","Nebraska","6-0",192,4.33,NA,NA,2023
"884","A.T. Perry","WR","Wake Forest","6-4",198,4.47,NA,NA,2023
"885","Jayden Reed","WR","Michigan St.","5-11",187,4.45,NA,4.29,2023
"886","Rashee Rice","WR","SMU","6-1",204,4.51,NA,NA,2023
"887","Tyler Scott","WR","Cincinnati","5-10",177,4.44,NA,NA,2023
"888","Justin Shorter","WR","Florida","6-4",229,4.55,NA,NA,2023
"889","Jaxon Smith-Njigba","WR","Ohio St.","6-1",196,NA,6.57,3.93,2023
"890","Cedric Tillman","WR","Tennessee","6-3",213,4.54,NA,NA,2023
"891","Mitchell Tinsley","WR","Penn St.","6-0",199,4.6,NA,4.21,2023
"892","Tre Tucker","WR","Cincinnati","5-9",182,4.4,NA,NA,2023
"893","Parker Washington","WR","Penn St.","5-10",204,NA,NA,NA,2023
"894","Jalen Wayne","WR","South Alabama","6-2",210,4.51,NA,NA,2023
"895","Dontayvion Wicks","WR","Virginia","6-1",206,4.62,NA,NA,2023
"896","Michael Wilson","WR","Stanford","6-2",213,4.58,NA,4.27,2023
"897","Javon Baker","WR","Central Florida","6-1",202,4.54,NA,NA,2024
"898","Jermaine Burton","WR","Alabama","6-0",196,4.45,NA,NA,2024
"899","Jalen Coker","WR","Holy Cross","6-1",208,4.57,NA,NA,2024
"900","Keon Coleman","WR","Florida St.","6-3",213,4.61,NA,NA,2024
"901","Malachi Corley","WR","Western Kentucky","5-11",215,NA,NA,NA,2024
"902","Jacob Cowing","WR","Arizona","5-8",168,4.38,7.02,4.32,2024
"903","Ryan Flournoy","WR","Southeast Missouri St.","6-1",202,4.44,NA,NA,2024
"904","Troy Franklin","WR","Oregon","6-2",176,4.41,6.9,4.31,2024
"905","Anthony Gould","WR","Oregon St.","5-8",174,4.39,NA,4.16,2024
"906","Lideatrick Griffin","WR","Mississippi St.","5-10",181,4.43,7,4.35,2024
"907","Marvin Harrison","WR","Ohio St.","6-3",209,NA,NA,NA,2024
"908","Jha'Quan Jackson","WR","Tulane","5-9",188,4.42,NA,NA,2024
"909","Cornelius Johnson","WR","Michigan","6-3",212,4.44,NA,NA,2024
"910","Xavier Legette","WR","South Carolina","6-1",221,4.39,NA,NA,2024
"911","Luke McCaffrey","WR","Rice","6-2",198,4.46,6.7,4.02,2024
"912","Ladd McConkey","WR","Georgia","6-0",186,4.39,NA,NA,2024
"913","Jalen McMillan","WR","Washington","6-1",197,4.47,6.94,4.18,2024
"914","Bub Means","WR","Pittsburgh","6-1",212,4.43,NA,NA,2024
"915","Adonai Mitchell","WR","Texas","6-2",205,4.34,NA,NA,2024
"916","Malik Nabers","WR","LSU","6-0",200,NA,NA,NA,2024
"917","Rome Odunze","WR","Washington","6-3",212,4.45,6.88,4.03,2024
"918","Ricky Pearsall","WR","Florida","6-1",189,4.41,6.64,4.05,2024
"919","Ja'Lynn Polk","WR","Washington","6-1",203,4.52,NA,NA,2024
"920","Brenden Rice","WR","USC","6-2",208,4.5,NA,NA,2024
"921","Tayvion Robinson","WR","Kentucky","5-11",191,NA,NA,NA,2024
"922","Marcus Rosemy-Jacksaint","WR","Georgia","6-1",195,NA,NA,NA,2024
"923","Ainias Smith","WR","Texas A&M","5-9",190,NA,NA,NA,2024
"924","Brian Thomas","WR","LSU","6-3",209,4.33,NA,NA,2024
"925","Jamari Thrash","WR","Louisville","6-0",188,4.46,7.16,NA,2024
"926","Devaughn Vele","WR","Utah","6-4",203,4.47,NA,NA,2024
"927","Devontez Walker","WR","North Carolina","6-2",193,4.36,NA,NA,2024
"928","Tahj Washington","WR","USC","5-10",174,NA,NA,NA,2024
"929","Malik Washington","WR","Virginia","5-9",191,4.47,NA,NA,2024
"930","Xavier Weaver","WR","Colorado","6-0",169,NA,NA,NA,2024
"931","Jordan Whittington","WR","Texas","6-1",205,NA,NA,NA,2024
"932","Isaiah Williams","WR","Illinois","5-9",182,4.63,6.75,NA,2024
"933","Johnny Wilson","WR","Florida St.","6-6",231,4.52,NA,4.11,2024
"934","Roman Wilson","WR","Michigan","5-11",185,4.39,NA,NA,2024
"935","Xavier Worthy","WR","Texas","5-11",165,4.21,NA,NA,2024
